instrument,timeframe,date_analysis,direction,wave_current,wave_next,wave_degree,pattern,confirmation_level,invalidation_level,fib_target_1,fib_target_2,fib_618,fib_382,fib_786,scenario,has_alternative,current_price_approx,notes,page,source_file,result,exit_price,candles_elapsed,symbol_td,sl_pips,rr_ratio,fib_50,fib_500,profit_target_pips,target_price,invalidation_level_78.60,invalidation_level_61.80,fib_618_full,price_target,target_percentage,fib_ratios,direction_option2,direction_option3,scenario_option2,scenario_option3,option2_key_level,option2_constraint,option3_risk,date_target
USD/JPY,8h,2026-02-02,sell,2,3,intermediate,impulse,157.464,159.237,,,,,,main,False,155.0,"Wave (B) completed at top, now in bearish impulse wave 1-2-3-4-5 targeting ~140.200. Wave 2 completed near 159, invalidation above 159.237",11,02-02-26.pdf,loss,159.237,34.0,C:USDJPY,177.3,,,,,,,,,,,,,,,,,,,
AUD/USD,3D,2026-01-30,buy,2,3,primary,impulse,0.64219,0.59128,0.80017,,0.60406,,,main,False,0.64219,"Wave 2 correction complete as WXY double zigzag ending at (Y). Wave 3 projected toward 0.80+ with subwaves (i), (ii), (iii) marked. Key level at 0.64219, 78.6% retracement at 0.60406",1,30-01-26.pdf,win,0.71114,45.0,C:AUDUSD,509.1,3.1,,,,,,,,,,,,,,,,,,
AUD/USD,4h,2026-01-30,buy,(3),(3),intermediate,impulse,,0.68331,0.70072,0.72209,,,,main,False,0.70072,First goal achieved at 100% (0.70072). Taking partial profit recommended. Next target at 161.8% (0.72209). Stop moved higher to 0.68331. Previous invalidation at 0.66669.,2,30-01-26.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
EUR/USD,2D,2026-01-30,buy,4,5,primary,triangle,,,1.21,,,,,main,False,1.21077,"Wave (C) in progress, currently in wave 4 triangle (ABCDE), wave 5 projected to complete at (C) target around 1.22000",3,30-01-26.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
EUR/USD,8h,2026-01-30,buy,4,5,intermediate,impulse,1.1768,1.15761,1.21077,,,,,main,False,1.192,"Wave (C) impulse in progress, wave 4 correction completing, target wave 5 at 1.21077. Triangle pattern B-C-D-E completed before impulse.",4,30-01-26.pdf,loss,1.15761,28.0,C:EURUSD,191.9,1.77,,,,,,,,,,,,,,,,,,
GBP/USD,8h,2026-01-30,buy,4,5,intermediate,impulse,1.35693,1.30366,1.405,,,,,main,False,1.37,Wave (5) targeting ~1.40. Stop moved higher to 1.35693. Original invalidation at 1.30366. Currently in wave 4 of larger wave (3).,5,30-01-26.pdf,pending,,45.0,C:GBPUSD,532.7,0.9,,,,,,,,,,,,,,,,,,
USD/CAD,1D,2026-01-30,sell,Y,,primary,WXY correction,,1.47894,1.33722,1.30377,1.30377,,,main,False,1.39,"WXY double zigzag correction completed at Y, bearish channel breakdown expected, targeting 50% (1.33722) and 61.8% (1.30377) Fibonacci retracements",6,30-01-26.pdf,no_symbol_or_data,,,,,,1.33722,,,,,,,,,,,,,,,,,
USD/CAD,8h,2026-01-30,sell,(4),(5),intermediate,impulse,1.37392,1.39284,1.33722,,,,,main,False,1.39,"Wave (4) correction completing, targeting wave (5) at 50% fib level 1.33722. Two invalidation levels marked at 1.39284 and 1.37392",7,30-01-26.pdf,pending,,45.0,C:USDCAD,189.2,1.94,,,,,,,,,,,,,,,,,,
USD/CHF,2D,2026-01-30,sell,(B),(C),primary,triangle,,,0.714,,,,,main,False,0.795,"Big triangle pattern A-B-C-D-E completed at wave (B), smaller triangle pattern forming, projecting wave (C) decline to approximately 0.71",8,30-01-26.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
USD/CHF,8H,2026-01-30,sell,e,(C),primary,triangle,0.77857,0.80414,0.765,0.715,,,,main,False,0.775,"Triangle pattern completed with waves b-c-d-e. First goal perfectly achieved, recommend taking partial profit. Holding rest of position until next goal at wave (C) around 0.7150",9,30-01-26.pdf,win,0.765,10.0,C:USDCHF,255.7,0.53,,,,,,,,,,,,,,,,,,
USD/JPY,2D,2026-01-30,sell,(B),(C),primary,zigzag,148.0,164.0,140.0,139.0,,,,main,False,155.0,"Completed 5-wave impulse to (5), now in ABC correction. Wave (B) completing as ABC flat near 163-164 area, expecting wave (C) decline toward 139-140 zone",10,30-01-26.pdf,win,154.339,45.0,C:USDJPY,1600.0,0.5,,,,,,,,,,,,,,,,,,
USD/JPY,8h,2026-01-30,sell,(B),(C),primary,zigzag,157.464,159.237,140.25,,,,,main,False,154.0,"Wave (B) completed as 5-wave impulse (1-2-3-4-5), wave (4) as ABCDE triangle. Bearish wave (C) projected to 140.250. Invalidation at 159.237",11,30-01-26.pdf,loss,159.237,36.0,C:USDJPY,177.3,9.71,,,,,,,,,,,,,,,,,,
AUD/USD,3D,2026-01-29,buy,2,3,primary,impulse,0.64219,0.59128,0.80017,,,,0.60406,main,False,0.64219,"Wave 2 correction complete as WXY pattern ending at (Y). Wave 3 impulse projected targeting 0.80017. Key level at 0.64219, invalidation at 0.59128. Sub-waves (i), (ii), (iii) labeled for wave 3 development.",1,29-01-26.pdf,win,0.7081,45.0,C:AUDUSD,509.1,3.1,,,,,,,,,,,,,,,,,,
AUD/USD,8h,2026-01-29,buy,(2),(3),intermediate,impulse,,0.68331,0.70072,0.72209,,,,main,False,0.70072,First goal achieved at 100% (0.70072). Recommend taking partial profit. Next target 161.8% (0.72209). Stop moved higher to 0.68331. Previous invalidation at 0.66669.,2,29-01-26.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
EUR/USD,2D,2026-01-29,buy,4,5,primary,impulse,1.15,1.11,1.21077,,,,,main,False,1.21077,"Wave (C) in progress, currently in wave 4 triangle (a-b-c-d-e), wave 5 projected to complete at higher levels around 1.21-1.22",3,29-01-26.pdf,pending,,45.0,C:EURUSD,400.0,1.52,,,,,,,,,,,,,,,,,,
EUR/USD,4h,2026-01-29,buy,4,5,,contracting triangle,1.1768,1.15761,1.21077,,,,,main,False,1.195,"Triangle pattern ABCDE completing wave 4, wave 5 target at 1.21077, invalidation at 1.15761",4,29-01-26.pdf,loss,1.15761,29.0,C:EURUSD,191.9,1.77,,,,,,,,,,,,,,,,,,
GBP/USD,8h,2026-01-29,buy,(4),(5),intermediate,impulse,1.35693,1.30366,1.4,,,,,main,False,1.345,"Wave 3 of larger degree in progress, currently in wave (4) correction. Stop moved higher to 1.30366. Target wave (5) near 1.40. Invalidation at 1.35693 for wave (3).",5,29-01-26.pdf,pending,,45.0,C:GBPUSD,532.7,0.81,,,,,,,,,,,,,,,,,,
GBP/USD,4H,2026-01-29,buy,3,5,intermediate,impulse,1.35693,1.30366,1.4,,,,,main,False,1.38,"Let's move the stop higher. Wave (3) completed, currently in wave 3 of (5), targeting wave 5 completion around 1.40",6,29-01-26.pdf,pending,,45.0,C:GBPUSD,532.7,0.81,,,,,,,,,,,,,,,,,,
USD/CAD,1D,2026-01-29,sell,Y,,primary,WXY correction,1.39,1.47894,1.33722,1.30377,1.30377,,,main,False,1.39,"WXY double zigzag correction complete, bearish targets at 50% (1.33722) and 61.8% (1.30377) Fibonacci retracements",7,29-01-26.pdf,loss,1.368,45.0,C:USDCAD,889.4,0.59,,,,,,,,,,,,,,,,,,
USD/CAD,8h,2026-01-29,sell,(4),(5),intermediate,impulse,1.37392,1.39284,1.33722,,,,,main,False,1.39,"Wave (4) correction completing, targeting wave (5) at 50% Fibonacci level 1.33722. Invalidation above 1.39284",8,29-01-26.pdf,pending,,45.0,C:USDCAD,189.2,1.94,,,,,,,,,,,,,,,,,,
USD/CHF,2D,2026-01-29,sell,E,(C),primary,triangle,,,0.721,,,,,main,False,0.805,"Big triangle pattern (A)-(B)-(C) with inner ABCDE triangle completing. Wave E of smaller triangle complete, expecting wave (C) down to approximately 0.72100",9,29-01-26.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
USD/CHF,8H,2026-01-29,sell,e,impulse down,,triangle,0.77857,0.80414,0.723,0.7192,,,,main,False,0.7785,We have perfectly achieved our first goal. I recommend taking some of the profit. We will continue to hold the rest of the position until the next goal.,10,29-01-26.pdf,pending,,45.0,C:USDCHF,255.7,2.17,,,,,,,,,,,,,,,,,,
USD/JPY,2D,2026-01-29,sell,(B),(C),primary,zigzag,139.0,162.0,139.0,,,,,main,False,155.0,"Wave (B) completing as ABC correction at resistance ~158-162, projecting wave (C) decline toward 139 support level",11,29-01-26.pdf,loss,155.06699999999998,45.0,C:USDJPY,2300.0,,,,,,,,,,,,,,,,,,,
USD/JPY,8H,2026-01-29,sell,(5),C,primary,impulse,,159.237,140.2,,,,,main,False,159.237,Wave (B) completing at top with 5-wave impulse structure. Triangle pattern (A-B-C-D-E) visible in wave (4). Expecting sharp decline toward 140.200 area,12,29-01-26.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
AUD/USD,3D,2026-01-28,buy,2,3,primary,impulse,0.64219,0.59128,0.80017,0.84,,,0.60406,main,False,0.64219,"Wave 2 correction complete as WXY double zigzag ending at (Y). Wave 3 impulse targeting above wave 1 high. Key level at 0.64219, invalidation at 0.59128. 78.6% retracement at 0.60406",1,28-01-26.pdf,win,0.70554,45.0,C:AUDUSD,509.1,3.1,,,,,,,,,,,,,,,,,,
AUD/USD,8H,2026-01-28,buy,(1),(3),intermediate,impulse,,0.6766,0.70072,0.72209,,,,main,False,0.6766,First goal achieved at 100% (0.70072). Recommend taking partial profit. Moving stop higher to 0.6766. Next target at 161.8% (0.72209) for wave (3).,2,28-01-26.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
EUR/USD,2D,2026-01-28,buy,4,5,primary,triangle,1.18,1.13,1.22,,,,,main,False,1.21077,"Wave (C) in progress, currently in wave 4 triangle (A-B-C-D-E), projecting wave 5 to complete at (C) target near 1.22",3,28-01-26.pdf,pending,,45.0,C:EURUSD,500.0,0.8,,,,,,,,,,,,,,,,,,
EUR/USD,8h,2026-01-28,buy,4,5,,triangle,1.1768,1.15761,1.21077,,,,,main,False,1.21077,"Triangle ABCDE completing wave 4, wave 5 of (C) targeting higher levels. Invalidation at E wave low 1.15761, confirmation above 1.17680",4,28-01-26.pdf,loss,1.15761,30.0,C:EURUSD,191.9,1.77,,,,,,,,,,,,,,,,,,
GBP/USD,8h,2026-01-28,buy,(4),(5),intermediate,impulse,1.35693,1.30366,1.4,,,,,main,False,1.355,"Wave 3 of larger degree in progress, currently in wave (4) correction. Stop moved higher to 1.35693. Target wave (5) near 1.40. Inside larger wave 3 targeting higher levels.",5,28-01-26.pdf,pending,,45.0,C:GBPUSD,532.7,0.81,,,,,,,,,,,,,,,,,,
GBP/USD,4H,2026-01-28,buy,(4),(5),intermediate,impulse,1.35693,1.30366,1.405,,,,,main,False,1.35693,"Let's move the stop higher. Wave 3 of (5) targeting 1.40+ area. New invalidation at 1.35693, old invalidation at 1.30366",6,28-01-26.pdf,pending,,45.0,C:GBPUSD,532.7,0.9,,,,,,,,,,,,,,,,,,
USD/CAD,1D,2026-01-28,sell,Y,,primary,WXY correction,,1.47894,1.33722,1.30377,1.30377,,,main,False,1.39,"Completed 5-wave impulse down (1-2-3-4-5), followed by WXY corrective pattern within descending channel. Targets at 50% (1.33722) and 61.8% (1.30377) Fibonacci levels.",7,28-01-26.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
USD/CAD,8h,2026-01-28,sell,(4),(5),intermediate,impulse,1.37392,1.39284,1.33722,,,,,main,False,1.39284,"Wave (4) completing, expecting wave (5) down to 50% fib level at 1.33722. Invalidation above 1.39284, confirmation below 1.37392",8,28-01-26.pdf,pending,,45.0,C:USDCAD,189.2,1.94,,,,,,,,,,,,,,,,,,
USD/CHF,2D,2026-01-28,sell,E,(C),primary,triangle,,,0.71,,,,,main,False,0.805,"Big triangle pattern (A)-(B) complete, smaller triangle pattern forming, wave (C) projected down to 0.71 area",9,28-01-26.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
USD/CHF,8h,2026-01-28,sell,e,(C),primary,triangle,0.77857,0.80414,0.715,,,,,main,False,0.77857,"Triangle pattern (a-b-c-d-e) completed, expecting wave (C) down to 0.7150 area",10,28-01-26.pdf,pending,,45.0,C:USDCHF,255.7,2.49,,,,,,,,,,,,,,,,,,
USD/JPY,2D,2026-01-28,sell,(B),(C),primary,zigzag,148.0,162.0,140.0,139.0,,,,main,False,154.0,"Wave (B) completing as ABC correction, projecting wave (C) down to ~140 area. Prior wave (5) completed impulse from 2022 lows.",11,28-01-26.pdf,loss,155.187,45.0,C:USDJPY,1400.0,0.57,,,,,,,,,,,,,,,,,,
USD/JPY,8h,2026-01-28,sell,(5),C,primary,zigzag,,159.237,152.0,140.0,,,,main,False,159.237,"Wave (B) completing with internal 5-wave structure, expecting major wave C decline to approximately 140.00",12,28-01-26.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
AUD/USD,2D,2026-01-27,buy,2,3,primary,impulse,0.64219,0.59128,0.80017,0.84,,,0.60406,main,False,0.63,Wave 2 completed as WXY double zigzag correction at (Y). Wave 3 impulse starting with subwaves (i)-(ii)-(iii) projected. Key level at 0.64219 for confirmation.,1,27-01-26.pdf,win,0.70426,45.0,C:AUDUSD,509.1,3.1,,,,,,,,,,,,,,,,,,
AUD/USD,8H,2026-01-27,buy,(2),(3),intermediate,impulse,,0.66669,0.70072,0.72209,,,,main,False,0.67274,"The trend remains bullish. First targeting 100% Fibo at 0.70072, then may continue to 161.8% at 0.72209. Stop moved higher to 0.66669.",2,27-01-26.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
EUR/USD,2D,2026-01-27,buy,4,5,primary,impulse,1.15,1.125,1.21077,,,,,main,False,1.145,"Wave (C) in progress, currently in wave 4 triangle (a-b-c-d-e), projecting wave 5 to complete at 1.21077. Wave 4 shows ABCD corrective pattern within triangle structure.",3,27-01-26.pdf,pending,,45.0,C:EURUSD,250.0,2.43,,,,,,,,,,,,,,,,,,
EUR/USD,8h,2026-01-27,buy,4,5,,triangle,1.16695,1.15761,1.21077,,,,,main,False,1.183,"Triangle ABCDE completing wave 4, wave 5 projected to 1.21077",4,27-01-26.pdf,loss,1.15761,32.0,C:EURUSD,93.4,4.69,,,,,,,,,,,,,,,,,,
GBP/USD,8h,2026-01-27,buy,2,3,primary,impulse,1.34005,1.30366,1.39,,,,,main,False,1.34005,"Wave 2 completed as (Y) correction, expecting wave 3 impulse higher toward 1.39. Stop moved higher to 1.30366 invalidation level.",5,27-01-26.pdf,pending,,45.0,C:GBPUSD,363.9,1.37,,,,,,,,,,,,,,,,,,
GBP/USD,4H,2026-01-27,buy,2,3,intermediate,impulse,1.34005,1.30366,,,,,,main,False,1.34005,"Wave 2 complete, expecting wave 3 to reach 1.39000 area. Stop moved higher to 1.34005. Previous invalidation at 1.30366.",6,27-01-26.pdf,pending,,45.0,C:GBPUSD,363.9,,,,,,,,,,,,,,,,,,,
USD/CAD,1D,2026-01-27,sell,Y,,primary,WXY correction,1.38,1.47894,1.33722,,,,,main,False,1.38,"Completed 5-wave impulse (1-2-3-4-5) followed by WXY correction. Price breaking down from channel, targeting 50% retracement at 1.33722",7,27-01-26.pdf,loss,1.3695,45.0,C:USDCAD,989.4,0.43,,,,,,,,,,,,,,,,,,
USD/CAD,8h,2026-01-27,sell,(4),(5),intermediate,impulse,1.38539,1.39284,1.33722,,,,,main,False,1.39,"Wave (4) correction completing, expecting wave (5) down to 50% fib level at 1.33722. Two invalidation levels marked at 1.39284 and 1.38539",8,27-01-26.pdf,loss,1.3695,45.0,C:USDCAD,74.5,6.47,,,,,,,,,,,,,,,,,,
USD/CHF,2D,2026-01-27,sell,(B),(C),primary,triangle,,,0.755,,,,,main,False,0.785,"Big triangle pattern A-B-C-D-E completed, now in corrective (A)-(B)-(C) with smaller triangle pattern forming in wave (B), targeting wave (C) down to approximately 0.7550",9,27-01-26.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
USD/CHF,8h,2026-01-27,sell,e,(C),primary,triangle,0.7968,0.8044,0.76,,,,,main,False,0.8,"Triangle pattern a-b-c-d-e completing, expecting wave (C) decline to 0.7600 area",10,27-01-26.pdf,loss,0.77237,45.0,C:USDCHF,76.0,4.84,,,,,,,,,,,,,,,,,,
USD/JPY,2D,2026-01-27,sell,(B),(C),primary,zigzag,139.5,163.0,139.5,,,,,main,False,155.0,"Wave (5) completed at 163, now in ABC correction. Wave (B) completing near 159.500, projecting wave (C) down to approximately 139.500 area",11,27-01-26.pdf,loss,154.683,45.0,C:USDJPY,2350.0,,,,,,,,,,,,,,,,,,,
USD/JPY,8h,2026-01-27,sell,(5),(C),primary,zigzag,,159.237,140.1,,,,,main,False,159.237,"Wave (B) completing at top with 5-wave structure (1)-(2)-(3)-(4)-(5), wave (4) shows ABCDE triangle, projecting wave (C) down to approximately 140.100",12,27-01-26.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
AUD/USD,3D,2026-01-26,buy,2,3,primary,correction,0.64219,0.59128,0.80017,,,,0.60406,main,False,0.64219,"Wave 2 correction complete at (Y), starting wave 3 impulse. Sub-waves (i), (ii), (iii) projected. Key level at 0.64219, invalidation at 0.59128. 78.6% retracement at 0.60406",1,26-01-26.pdf,win,0.70815,45.0,C:AUDUSD,509.1,3.1,,,,,,,,,,,,,,,,,,
AUD/USD,8h,2026-01-26,buy,(2),(3),intermediate,impulse,0.67274,0.66669,0.70072,0.72209,,,,main,False,0.67274,"Congratulations! Let's move the stop higher. Wave (2) correction complete, targeting wave (3) at 100% (0.70072) and 161.8% (0.72209) extensions",2,26-01-26.pdf,win,0.70815,45.0,C:AUDUSD,60.5,4.62,,,,,,,,,,,,,,,,,,
EUR/USD,2D,2026-01-26,buy,4,5,primary,impulse,1.185,1.145,1.21077,,,,,main,False,1.165,"Wave (C) of larger correction in progress, wave 4 triangle (A-B-C-D-E) completing, wave 5 targeting 1.21077",3,26-01-26.pdf,loss,1.145,41.0,C:EURUSD,400.0,0.64,,,,,,,,,,,,,,,,,,
EUR/USD,8h,2026-01-26,buy,4,5,primary,triangle,1.16695,1.15761,1.21077,,,,,main,False,1.16695,"Triangle ABCDE completing wave 4, wave 5 projected to (C) target at 1.21077",4,26-01-26.pdf,loss,1.15761,33.0,C:EURUSD,93.4,4.69,,,,,,,,,,,,,,,,,,
GBP/USD,8h,2026-01-26,buy,2,3,intermediate,impulse,1.34005,1.30366,1.39,,,,,main,False,1.365,"Wave 2 complete, currently in wave 3 of larger degree wave 3. Stop moved higher to 1.34005. Target wave (5) of 3 around 1.39",5,26-01-26.pdf,pending,,45.0,C:GBPUSD,363.9,1.37,,,,,,,,,,,,,,,,,,
USD/CAD,1D,2026-01-26,sell,Y,,primary,WXY correction,,1.47894,1.33722,,,,,main,False,1.39,"Descending channel with completed 5-wave impulse down, followed by WXY corrective structure. Target at 50% Fibonacci level (1.33722)",6,26-01-26.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
USD/CAD,8h,2026-01-26,sell,(4),(5),primary,impulse,1.38539,1.39284,1.33722,,,,,main,False,1.39,"Wave (4) correction completing, expecting wave (5) down to 50% fib level at 1.33722. Two invalidation levels marked at 1.39284 and 1.38539",7,26-01-26.pdf,win,1.36385,45.0,C:USDCAD,74.5,6.47,,,,,,,,,,,,,,,,,,
USD/CHF,2D,2026-01-26,sell,E,(C),primary,triangle,0.778,0.81,0.761,,,,,main,False,0.79,Big triangle pattern (A)-(B)-(C) with internal A-B-C-D-E structure. Smaller triangle pattern forming. Wave (C) target near 0.7610,8,26-01-26.pdf,win,0.761,2.0,C:USDCHF,320.0,0.53,,,,,,,,,,,,,,,,,,
USD/CHF,8H,2026-01-26,sell,e,(C),primary,triangle,,0.80414,0.76,,,,,main,False,0.776,"Triangle pattern (a-b-c-d-e) completed, expecting wave (C) down toward 0.76. Second invalidation at 0.79880",9,26-01-26.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
USD/JPY,2D,2026-01-26,sell,(B),(C),primary,zigzag,,158.0,140.0,139.0,,,,main,False,156.0,"Wave (B) completing as ABC correction, wave (C) projected down toward 140.000 area. Larger structure shows completed impulse wave (1)-(5) followed by ABC correction",10,26-01-26.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
USD/JPY,8h,2026-01-26,sell,(5),C,primary,zigzag,,159.237,140.4,,,,,main,False,159.237,"Wave (B) completing at top with 5-wave structure, expecting major wave C decline to ~140.400. Triangle pattern (A-B-C-D-E) visible in wave (4)",11,26-01-26.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
AUD/USD,3D,2026-01-23,buy,2,3,primary,impulse,0.64219,0.59128,0.80017,0.82,,,0.60406,main,False,0.64219,"Wave 2 completed as WXY double zigzag correction. Wave 3 impulse projected with sub-waves (i), (ii), (iii). Key level at 0.64219 for confirmation, invalidation at 0.59128",1,23-01-26.pdf,win,0.70713,45.0,C:AUDUSD,509.1,3.1,,,,,,,,,,,,,,,,,,
AUD/USD,8h,2026-01-23,buy,(2),(3),intermediate,impulse,,0.66669,0.70077,,,,,main,False,0.67,Wave (1) completed with internal 5-wave structure (1-2-3-4-5). Wave (2) correction complete. Targeting wave (3) at 100% extension (0.70077). Invalidation below 0.66669.,2,23-01-26.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
EUR/USD,2D,2026-01-23,buy,4,5,primary,impulse,,1.115,1.21077,,,,,main,False,1.21077,"Wave (C) impulse in progress, completing wave 4 triangle (a-b-c-d-e), projecting wave 5 to complete larger (C) wave around 1.22 area",3,23-01-26.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
EUR/USD,8h,2026-01-23,buy,4,5,,triangle,,1.15761,1.21077,,,,,main,False,1.164,"Triangle pattern ABCDE completing wave 4, wave 5 target at 1.21077",4,23-01-26.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
GBP/USD,8h,2026-01-23,buy,2,3,primary,impulse,1.331,1.30366,1.355,1.39,,,,main,False,1.35,"Wave 2 completed as (Y) double correction, now in wave 3 impulse with invalidation at 1.30366 and secondary invalidation at 1.33100",5,23-01-26.pdf,pending,,45.0,C:GBPUSD,273.4,0.88,,,,,,,,,,,,,,,,,,
USD/CAD,1D,2026-01-23,sell,Y,,primary,WXY correction,,1.47825,1.33687,,,,,main,False,1.37,"Completed 5-wave impulse down (1-2-3-4-5), followed by WXY corrective structure. Price breaking down from descending channel, targeting 50% Fibonacci at 1.33687",6,23-01-26.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
USD/CAD,4H,2026-01-23,sell,4,5,primary,impulse,,1.39284,1.33687,,,,,main,False,1.39284,"Wave (4) complete, expecting bearish wave (5) targeting 50% Fibonacci at 1.33687",7,23-01-26.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
USD/CHF,2D,2026-01-23,sell,(B),(C),primary,triangle,,0.845,0.756,0.747,,,,main,False,0.795,"Big triangle pattern (A-B-C-D-E) completed, now in smaller triangle pattern within wave (B), projecting wave (C) down to 0.756-0.747 area",8,23-01-26.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
USD/CHF,8h,2026-01-23,sell,e,(C),primary,triangle,,0.80414,0.761,,,,,main,False,0.802,"Triangle pattern completing wave e, expecting wave (C) down to approximately 0.7610",9,23-01-26.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
USD/JPY,2D,2026-01-23,sell,(B),(C),primary,zigzag,,159.46,141.0,137.0,,,,main,False,159.46,"Wave (B) completing as ABC correction, expecting wave (C) decline toward 141.000 area. Invalidation at 159.460 level marked on chart.",10,23-01-26.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
